"","year","firm","id","xi1","xi3","xi1_lag","xi3_lag","up1","down1","stay1","pat_app","lpat_app"
"124","1995","GM",6,0.147379403518892,0.132314312020811,0.00596813371160476,0.0105752463265301,1,0,0,326,5.78996017089725
"125","1996","GM",6,0.00622498101596741,0.0132870782958098,0.147379403518892,0.132314312020811,0,1,0,317,5.76205138278018
"126","1997","GM",6,0.202184328171745,0.161761143030475,0.00622498101596741,0.0132870782958098,1,0,0,268,5.59471137960184
"127","1998","GM",6,0.18074179463809,0.165767202731836,0.202184328171745,0.161761143030475,0,0,1,283,5.64897423816121
"128","1999","GM",6,0.0936714879989637,0.0967461254284944,0.18074179463809,0.165767202731836,0,0,1,181,5.2040066870768
"129","2000","GM",6,-0.0757617642717647,-0.0199274850041603,0.0936714879989637,0.0967461254284944,0,1,0,224,5.41610040220442
"130","2001","GM",6,-0.191539900257484,-0.0695583660460313,-0.0757617642717647,-0.0199274850041603,0,1,0,294,5.68697535633982
"131","2002","GM",6,-0.171954940489449,-0.114079058324201,-0.191539900257484,-0.0695583660460313,0,0,1,473,6.16120732169508
"132","2003","GM",6,-0.243609713416717,-0.18634132808527,-0.171954940489449,-0.114079058324201,0,0,1,410,6.01859321449623
"133","2004","GM",6,-0.23960216005555,-0.180235464921093,-0.243609713416717,-0.18634132808527,0,0,1,205,5.32787616878958
"134","2005","GM",6,-0.54131729917164,-0.436225087336439,-0.23960216005555,-0.180235464921093,0,1,0,28.3199996948242,3.37826986661
"135","2006","GM",6,-0.762361205774924,-0.605861291016902,-0.54131729917164,-0.436225087336439,0,1,0,0,0
"136","1983","HONDA",7,-0.409610815122205,-0.411368052622615,-0.21499105180728,-0.287782676514723,0,1,0,248,5.51745289646471
"137","1984","HONDA",7,-0.0827210282729348,-0.17075265308528,-0.409610815122205,-0.411368052622615,1,0,0,253,5.53733426701854
"138","1985","HONDA",7,-0.143784527371789,-0.208699948685295,-0.0827210282729348,-0.17075265308528,0,0,1,333,5.8111409929767
"139","1986","HONDA",7,0.0128414309369063,-0.054060738022931,-0.143784527371789,-0.208699948685295,1,0,0,355,5.87493073085203
"140","1987","HONDA",7,0.198329487223981,0.0807027213822767,0.0128414309369063,-0.054060738022931,1,0,0,368,5.91079664404053
"141","1988","HONDA",7,0.103219660890566,0.0133436343371919,0.198329487223981,0.0807027213822767,0,0,1,359,5.88610403145016
"142","1989","HONDA",7,-0.104944658260361,-0.123598509024856,0.103219660890566,0.0133436343371919,0,1,0,325,5.78689738136671
"143","1990","HONDA",7,-0.00482796822009487,-0.039206759570679,-0.104944658260361,-0.123598509024856,1,0,0,196,5.28320372873799
"144","1991","HONDA",7,0.110939943364046,0.0433484190308258,-0.00482796822009487,-0.039206759570679,1,0,0,230,5.44241771052179
"145","1992","HONDA",7,0.0208938768211258,-0.0340655864120882,0.110939943364046,0.0433484190308258,0,0,1,272,5.60947179518496
"146","1993","HONDA",7,-0.288621430103125,-0.269501075278326,0.0208938768211258,-0.0340655864120882,0,1,0,259,5.56068163101553
"147","1994","HONDA",7,0.0206451154631512,-0.0291518591187876,-0.288621430103125,-0.269501075278326,1,0,0,324,5.78382518232974
"148","1995","HONDA",7,-0.0287292530466463,-0.0403320051783281,0.0206451154631512,-0.0291518591187876,0,0,1,427,6.0591231955818
"149","1996","HONDA",7,0.102607768130555,0.0911592433510149,-0.0287292530466463,-0.0403320051783281,1,0,0,392,5.97380961186926
"150","1997","HONDA",7,0.141615749351663,0.103432271836222,0.102607768130555,0.0911592433510149,0,0,1,498,6.21260609575152
"151","1998","HONDA",7,0.335062009308868,0.314938485292268,0.141615749351663,0.103432271836222,1,0,0,558,6.3261494731551
"152","1999","HONDA",7,0.169982430760231,0.181126091382607,0.335062009308868,0.314938485292268,0,1,0,500,6.21660610108486
"153","2000","HONDA",7,0.0269601120835583,0.105915356034182,0.169982430760231,0.181126091382607,0,1,0,817,6.70686233660275
"154","2001","HONDA",7,0.04357275012953,0.160273961945145,0.0269601120835583,0.105915356034182,0,0,1,894.440002441406,6.7973152203075
"155","2002","HONDA",7,-0.0839405344731642,0.0225582178163873,0.04357275012953,0.160273961945145,0,1,0,984.119995117188,6.89276345620633
"156","2003","HONDA",7,-0.143520825271175,-0.0267762538898267,-0.0839405344731642,0.0225582178163873,0,0,1,1078.52001953125,6.98427179497165
"157","2004","HONDA",7,-0.0906010982903198,0.0288186502837171,-0.143520825271175,-0.0267762538898267,0,0,1,913.320007324219,6.81818062759991
"158","2005","HONDA",7,-0.0518979308599018,0.05573634827749,-0.0906010982903198,0.0288186502837171,0,0,1,608.880004882812,6.41326222450989
"159","2006","HONDA",7,-0.0478089756594585,0.0551334435650609,-0.0518979308599018,0.05573634827749,0,0,1,0,0
"160","1983","HYUNDAI",8,-1.53686906287307,-1.67719969942024,-1.65424486010997,-1.80619829057003,1,0,0,0,0
"161","1984","HYUNDAI",8,-1.04535069753602,-1.25866902343522,-1.53686906287307,-1.67719969942024,1,0,0,0,0
"162","1985","HYUNDAI",8,-0.543721742502967,-0.768714670052403,-1.04535069753602,-1.25866902343522,1,0,0,0,0
"163","1986","HYUNDAI",8,-0.595014121974775,-0.651728536331081,-0.543721742502967,-0.768714670052403,0,0,1,0,0
"164","1987","HYUNDAI",8,-0.419719543079358,-0.450451239158686,-0.595014121974775,-0.651728536331081,1,0,0,0,0
"165","1988","HYUNDAI",8,-0.849038456577907,-0.765972393744195,-0.419719543079358,-0.450451239158686,0,1,0,0,0
"166","1989","HYUNDAI",8,-0.72963713700024,-0.681688696255915,-0.849038456577907,-0.765972393744195,1,0,0,2,1.09861228866811
"167","1990","HYUNDAI",8,-0.701884258149176,-0.640394864197832,-0.72963713700024,-0.681688696255915,0,0,1,1,0.693147180559945
"168","1991","HYUNDAI",8,-0.436836362787884,-0.413581734795327,-0.701884258149176,-0.640394864197832,1,0,0,5,1.79175946922805
"169","1992","HYUNDAI",8,-0.136604366006698,-0.151214636075894,-0.436836362787884,-0.413581734795327,1,0,0,7,2.07944154167984
"170","1993","HYUNDAI",8,-0.109990402596285,-0.0920349770458966,-0.136604366006698,-0.151214636075894,0,0,1,24,3.2188758248682
"171","1994","HYUNDAI",8,0.282989491762263,0.235533309093504,-0.109990402596285,-0.0920349770458966,1,0,0,35.4000015258789,3.59456881656244
"172","1995","HYUNDAI",8,0.388262782365406,0.350040104087364,0.282989491762263,0.235533309093504,1,0,0,90,4.51085950651685
"173","1996","HYUNDAI",8,0.340972985830921,0.31973336991555,0.388262782365406,0.350040104087364,0,0,1,104,4.65396035015752
"174","1997","HYUNDAI",8,0.727995171988082,0.706902531113146,0.340972985830921,0.31973336991555,1,0,0,110,4.70953020131233
